[DEBUG] main.cpp:25:main(): expectedPointsAmount = 100
[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.000s | Y: -0.060m | X: 0.003 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.177

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.010s | Y: -0.060m | X: 0.006 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.175

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.020s | Y: -0.060m | X: 0.009 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.172

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.030s | Y: -0.060m | X: 0.012 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.169

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.040s | Y: -0.060m | X: 0.015 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.166

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.050s | Y: -0.060m | X: 0.018 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.163

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.060s | Y: -0.060m | X: 0.021 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.161

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.070s | Y: -0.060m | X: 0.024 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.158

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.080s | Y: -0.060m | X: 0.027 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.155

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.090s | Y: -0.060m | X: 0.030 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.152

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.100s | Y: -0.060m | X: 0.033 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.150

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.110s | Y: -0.060m | X: 0.036 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.147

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.120s | Y: -0.060m | X: 0.039 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.144

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.130s | Y: -0.060m | X: 0.042 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.141

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.140s | Y: -0.060m | X: 0.045 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.139

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.150s | Y: -0.060m | X: 0.048 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.136

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.160s | Y: -0.060m | X: 0.051 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.133

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.170s | Y: -0.060m | X: 0.054 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.131

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.180s | Y: -0.060m | X: 0.057 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.128

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.190s | Y: -0.060m | X: 0.060 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.125

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.200s | Y: -0.060m | X: 0.063 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.123

